epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4603.44,1.33453,1.04313,1.32297,0.74898,0.61265,0.69198,0.40671,1.44719,1.04905,1.42089,0.005842,0.005842,0.005842
44,4711.3,1.32533,1.03393,1.32167,0.73635,0.62794,0.69119,0.40776,1.4364,1.04873,1.41789,0.005743,0.005743,0.005743
45,4819.32,1.31475,1.01998,1.32052,0.74384,0.61173,0.68922,0.40872,1.43437,1.05285,1.41713,0.005644,0.005644,0.005644
46,4926.99,1.32011,1.0165,1.31814,0.7533,0.60846,0.69161,0.40855,1.43634,1.04412,1.42028,0.005545,0.005545,0.005545
47,5035.59,1.31776,1.01837,1.3193,0.73906,0.61893,0.69514,0.41248,1.4312,1.03958,1.41221,0.005446,0.005446,0.005446
48,5143.4,1.30999,1.01387,1.3108,0.74447,0.6218,0.698,0.41264,1.42639,1.03728,1.4072,0.005347,0.005347,0.005347
49,5250.53,1.30835,1.01337,1.31349,0.74346,0.62518,0.69927,0.41351,1.43073,1.03334,1.41479,0.005248,0.005248,0.005248
50,5357.76,1.30169,1.00934,1.30904,0.76121,0.61544,0.69983,0.41463,1.43254,1.03392,1.40975,0.005149,0.005149,0.005149
51,5466.25,1.29734,0.99238,1.30313,0.76135,0.61287,0.69771,0.41389,1.43272,1.03484,1.4088,0.00505,0.00505,0.00505
52,5573.18,1.2928,0.98517,1.30025,0.748,0.6204,0.69899,0.41336,1.43213,1.03047,1.40855,0.004951,0.004951,0.004951
53,5680.69,1.2936,0.99004,1.30563,0.75915,0.6188,0.69954,0.41424,1.42875,1.02433,1.40704,0.004852,0.004852,0.004852
54,5788.11,1.29472,0.99583,1.30341,0.74875,0.62206,0.6985,0.41522,1.43011,1.02105,1.4065,0.004753,0.004753,0.004753
55,5896.39,1.28264,0.97367,1.29436,0.74829,0.62462,0.69939,0.41629,1.42432,1.01448,1.40328,0.004654,0.004654,0.004654
56,6004.68,1.28631,0.98035,1.29779,0.74757,0.63162,0.69833,0.41457,1.42293,1.0197,1.40137,0.004555,0.004555,0.004555
57,6112.63,1.28472,0.97699,1.29551,0.75958,0.62258,0.69839,0.41555,1.4274,1.01852,1.40293,0.004456,0.004456,0.004456
58,6221.64,1.27998,0.96636,1.28974,0.7592,0.62243,0.7,0.41669,1.42086,1.01474,1.39838,0.004357,0.004357,0.004357
59,6329.92,1.27271,0.9676,1.28695,0.7577,0.62081,0.69937,0.41681,1.42071,1.01788,1.39744,0.004258,0.004258,0.004258
60,6438.88,1.27677,0.96524,1.28812,0.75623,0.62387,0.70238,0.41826,1.42046,1.01344,1.39667,0.004159,0.004159,0.004159
61,6547.56,1.26836,0.96226,1.28126,0.74416,0.62794,0.703,0.41904,1.42005,1.01336,1.39802,0.00406,0.00406,0.00406
62,6656.16,1.26475,0.95167,1.28208,0.75464,0.6296,0.70604,0.42007,1.41935,1.00749,1.39848,0.003961,0.003961,0.003961
63,6765.39,1.26963,0.95474,1.28503,0.76357,0.62277,0.70743,0.42162,1.41914,1.00543,1.39511,0.003862,0.003862,0.003862
64,6873.25,1.26085,0.94759,1.27594,0.76504,0.62428,0.70727,0.42156,1.41811,1.00724,1.3926,0.003763,0.003763,0.003763
65,6981.3,1.24897,0.93322,1.27428,0.76581,0.62276,0.70503,0.42029,1.41871,1.00786,1.39479,0.003664,0.003664,0.003664
66,7088.95,1.25082,0.93431,1.27285,0.75644,0.63033,0.70475,0.42151,1.41882,1.00512,1.3944,0.003565,0.003565,0.003565
67,7196.87,1.25257,0.93068,1.27293,0.7549,0.62904,0.70441,0.42045,1.41569,1.00679,1.39465,0.003466,0.003466,0.003466
68,7304.09,1.23986,0.92091,1.26531,0.74923,0.62996,0.70409,0.41914,1.41462,1.00586,1.39463,0.003367,0.003367,0.003367
69,7412.2,1.24187,0.92199,1.26569,0.75055,0.63364,0.70511,0.42062,1.41087,1.00397,1.39164,0.003268,0.003268,0.003268
70,7520.15,1.24044,0.92167,1.26404,0.76138,0.62647,0.70626,0.42182,1.41069,1.00212,1.38993,0.003169,0.003169,0.003169
71,7628.85,1.24565,0.9206,1.26516,0.75185,0.63327,0.70709,0.42277,1.40965,1.0017,1.38906,0.00307,0.00307,0.00307
72,7738.54,1.2304,0.90582,1.2568,0.75794,0.63033,0.70662,0.42414,1.40876,1.00146,1.38729,0.002971,0.002971,0.002971
73,7852.82,1.23094,0.90554,1.2624,0.74871,0.63603,0.70669,0.42411,1.40947,1.00128,1.38774,0.002872,0.002872,0.002872
74,7965.38,1.21709,0.88574,1.25031,0.75185,0.63401,0.70634,0.42379,1.4101,1.00007,1.38733,0.002773,0.002773,0.002773
75,8077.1,1.2183,0.9026,1.25533,0.74656,0.63897,0.70681,0.42378,1.41006,0.99682,1.38734,0.002674,0.002674,0.002674
