epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4620.41,1.33549,1.06963,1.31877,0.52632,0.36245,0.42398,0.26009,1.44577,1.07476,1.41554,0.005842,0.005842,0.005842
44,4727.38,1.32367,1.05076,1.31624,0.55148,0.40661,0.4334,0.26723,1.44043,1.06875,1.41528,0.005743,0.005743,0.005743
45,4834.28,1.31764,1.04278,1.31691,0.62704,0.34761,0.42603,0.26758,1.4366,1.07046,1.41238,0.005644,0.005644,0.005644
46,4941.53,1.32115,1.04134,1.31276,0.49184,0.40439,0.4318,0.26847,1.44172,1.06873,1.41584,0.005545,0.005545,0.005545
47,5048.67,1.31928,1.03912,1.3151,0.49619,0.40303,0.43296,0.26753,1.43315,1.05964,1.40948,0.005446,0.005446,0.005446
48,5156.48,1.31505,1.03553,1.30885,0.48681,0.4323,0.43915,0.26718,1.44076,1.05607,1.41274,0.005347,0.005347,0.005347
49,5263.21,1.31268,1.03272,1.3106,0.58125,0.3658,0.43605,0.26684,1.42829,1.053,1.40671,0.005248,0.005248,0.005248
50,5369.71,1.30536,1.02593,1.30477,0.56062,0.42416,0.4652,0.28212,1.42289,1.04132,1.40477,0.005149,0.005149,0.005149
51,5477.36,1.29637,1.01103,1.29921,0.54555,0.38522,0.44621,0.27515,1.42475,1.04455,1.40394,0.00505,0.00505,0.00505
52,5584.72,1.29334,1.00652,1.29525,0.75288,0.37227,0.43522,0.27251,1.42882,1.05226,1.40506,0.004951,0.004951,0.004951
53,5692.07,1.29581,1.01118,1.3009,0.66615,0.36792,0.44273,0.27209,1.42192,1.04851,1.3977,0.004852,0.004852,0.004852
54,5799.26,1.29621,1.0112,1.2982,0.71863,0.36016,0.45727,0.28565,1.42041,1.03864,1.3974,0.004753,0.004753,0.004753
55,5906.19,1.28486,0.99154,1.28706,0.62161,0.40163,0.46129,0.28703,1.41889,1.03362,1.39347,0.004654,0.004654,0.004654
56,6013.81,1.28939,0.99794,1.29361,0.5674,0.45372,0.46197,0.28181,1.41767,1.0344,1.3943,0.004555,0.004555,0.004555
57,6120.74,1.28876,0.99203,1.29021,0.58442,0.41805,0.45709,0.28562,1.41639,1.04338,1.39187,0.004456,0.004456,0.004456
58,6228.27,1.28078,0.9901,1.28794,0.62021,0.41953,0.4586,0.28901,1.42281,1.03894,1.39602,0.004357,0.004357,0.004357
59,6334.6,1.27385,0.98239,1.28076,0.49099,0.45311,0.46015,0.29239,1.42514,1.03841,1.39685,0.004258,0.004258,0.004258
60,6441.82,1.28038,0.98351,1.28787,0.52922,0.4431,0.4615,0.28846,1.42419,1.03751,1.39651,0.004159,0.004159,0.004159
